Änderung am,Produktgruppe,Land/Marketplace,Phase,Feld,Datum,Mitarbeiter
2025-07-23 10:54:10,NA,jp,2,BE am,2025-05-27,HI
2025-07-23 10:54:10,NA,com.mx,1,Kontrolle,2025-05-20,EK
2025-07-23 10:54:10,NA,it,2,BE am,2025-05-19,SM
2025-07-23 10:54:10,NA,it,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,it,2,BE am,2025-05-19,SM
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,nl,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,se,2,BE am,2025-05-23,DM
2025-07-23 10:54:10,NA,se,3,K am,2025-05-30,DM
2025-07-23 10:54:10,NA,se,2,BE am,2025-05-23,DM
2025-07-23 10:54:10,NA,pl,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,pl,2,BE am,2025-05-22,DM
2025-07-23 10:54:10,NA,pl,3,K am,2025-05-30,DM
2025-07-23 10:54:10,NA,pl,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,pl,2,BE am,2025-05-22,DM
2025-07-23 10:54:10,NA,pl,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,sg,1,Kontrolle,2025-05-23,LK
2025-07-23 10:54:10,NA,jp,2,BE am,2025-05-27,HI
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,au,2,BE am,2025-05-08,LK
2025-07-23 10:54:10,NA,au,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,au,2,BE am,2025-05-08,LK
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,be,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,ca,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,com,1,Kontrolle,2025-05-20,EK
2025-07-23 10:54:10,NA,com,2,BE am,2025-05-21,LK
2025-07-23 10:54:10,NA,com,3,K am,2025-05-30,DM
2025-07-23 10:54:10,NA,com,1,Kontrolle,2025-05-20,EK
2025-07-23 10:54:10,NA,com,2,BE am,2025-05-21,LK
2025-07-23 10:54:10,NA,com,1,Kontrolle,2025-05-20,EK
2025-07-23 10:54:10,NA,co.uk,1,Kontrolle,2025-05-23,LK
2025-07-23 10:54:10,NA,de,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,it,1,Kontrolle,2025-05-23,LK
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-09,LK
2025-07-23 10:54:10,NA,nl,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-09,LK
2025-07-23 10:54:10,NA,se,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,pl,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,pl,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,pl,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,ca,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,it,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,tr,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,com.mx,2,BE am,2025-05-08,LK
2025-07-23 10:54:10,NA,com.mx,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,com.mx,2,BE am,2025-05-08,LK
2025-07-23 10:54:10,NA,jp,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,jp,2,BE am,2025-05-27,HI
2025-07-23 10:54:10,NA,jp,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,be,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,co.uk,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,de,1,Kontrolle,2025-05-20,EK
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,tr,1,Kontrolle,2025-05-30,DM
2025-07-23 10:54:10,NA,pl,1,Kontrolle,2025-05-26,LK
2025-07-23 10:54:10,NA,com,1,Kontrolle,2025-05-26,LK
2025-07-23 10:54:10,NA,co.uk,4,C am,2025-05-09,EK
2025-07-23 10:54:10,NA,co.uk,4,C am,2025-05-09,EK
2025-07-23 10:54:10,NA,it,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,jp,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,jp,2,BE am,2025-05-27,HI
2025-07-23 10:54:10,NA,jp,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,tr,1,Kontrolle,2025-05-26,LK
2025-07-23 10:54:10,NA,jp,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,jp,2,BE am,2025-05-27,HI
2025-07-23 10:54:10,NA,jp,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,com.mx,1,Kontrolle,2025-05-26,LK
2025-07-23 10:54:10,NA,com.mx,2,BE am,2025-05-27,HI
2025-07-23 10:54:10,NA,com.mx,1,Kontrolle,2025-05-26,LK
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,tr,1,Kontrolle,2025-05-27,HI
2025-07-23 10:54:10,NA,pl,1,Kontrolle,2025-05-22,DM
2025-07-23 10:54:10,NA,jp,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,jp,2,BE am,2025-05-27,HI
2025-07-23 10:54:10,NA,jp,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,com,2,BE am,2025-05-21,LK
2025-07-23 10:54:10,NA,com,3,K am,2025-05-26,LK
2025-07-23 10:54:10,NA,com,2,BE am,2025-05-21,LK
2025-07-23 10:54:10,NA,de,1,Kontrolle,2025-05-08,SM
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,se,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,se,2,BE am,2025-05-15,LK
2025-07-23 10:54:10,NA,se,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,se,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,se,2,BE am,2025-05-15,LK
2025-07-23 10:54:10,NA,se,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,tr,1,Kontrolle,2025-05-30,DM
2025-07-23 10:54:10,NA,pl,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,pl,2,BE am,2025-05-15,LK
2025-07-23 10:54:10,NA,pl,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,pl,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,pl,2,BE am,2025-05-15,LK
2025-07-23 10:54:10,NA,pl,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,com.mx,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-20,EK
2025-07-23 10:54:10,NA,com,1,Kontrolle,2025-05-26,LK
2025-07-23 10:54:10,NA,de,1,Kontrolle,2025-05-20,EK
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-26,LK
2025-07-23 10:54:10,NA,tr,1,Kontrolle,2025-05-15,SM
2025-07-23 10:54:10,NA,com.mx,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,au,2,BE am,2025-05-08,LK
2025-07-23 10:54:10,NA,au,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,au,2,BE am,2025-05-08,LK
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,be,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,be,2,BE am,2025-05-08,LK
2025-07-23 10:54:10,NA,be,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,be,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,be,2,BE am,2025-05-08,LK
2025-07-23 10:54:10,NA,be,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,com,1,Kontrolle,2025-05-26,LK
2025-07-23 10:54:10,NA,de,1,Kontrolle,2025-05-08,DM
2025-07-23 10:54:10,NA,es,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,fr,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,it,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-15,LK
2025-07-23 10:54:10,NA,nl,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-15,LK
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,be,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,com.mx,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,de,1,Kontrolle,2025-05-20,EK
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-09,LK
2025-07-23 10:54:10,NA,nl,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-09,LK
2025-07-23 10:54:10,NA,se,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,se,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,se,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,pl,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,pl,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,pl,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-20,EK
2025-07-23 10:54:10,NA,com,1,Kontrolle,2025-05-26,LK
2025-07-23 10:54:10,NA,com.mx,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,it,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-20,EK
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-21,LK
2025-07-23 10:54:10,NA,nl,3,K am,2025-05-26,LK
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-20,EK
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-21,LK
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-20,EK
2025-07-23 10:54:10,NA,se,1,Kontrolle,2025-05-26,LK
2025-07-23 10:54:10,NA,tr,1,Kontrolle,2025-05-15,SM
2025-07-23 10:54:10,NA,pl,1,Kontrolle,2025-05-15,SM
2025-07-23 10:54:10,NA,pl,1,Kontrolle,2025-05-15,SM
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,au,2,BE am,2025-05-08,LK
2025-07-23 10:54:10,NA,au,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,au,2,BE am,2025-05-08,LK
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,tr,1,Kontrolle,2025-05-15,SM
2025-07-23 10:54:10,NA,be,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,com.mx,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,fr,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,au,2,BE am,2025-05-08,LK
2025-07-23 10:54:10,NA,au,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,au,2,BE am,2025-05-08,LK
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,ca,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,com.mx,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,it,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,se,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,se,2,BE am,2025-05-15,LK
2025-07-23 10:54:10,NA,se,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,se,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,se,2,BE am,2025-05-15,LK
2025-07-23 10:54:10,NA,se,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,tr,1,Kontrolle,2025-05-15,SM
2025-07-23 10:54:10,NA,pl,1,Kontrolle,2025-05-15,SM
2025-07-23 10:54:10,NA,com.mx,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,co.uk,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,it,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-09,LK
2025-07-23 10:54:10,NA,nl,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-09,LK
2025-07-23 10:54:10,NA,tr,1,Kontrolle,2025-05-15,SM
2025-07-23 10:54:10,NA,com.mx,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,au,2,BE am,2025-05-08,LK
2025-07-23 10:54:10,NA,au,3,K am,2025-05-20,EK
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,au,2,BE am,2025-05-08,LK
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,com,1,Kontrolle,2025-05-23,LK
2025-07-23 10:54:10,NA,es,1,Kontrolle,2025-05-08,SM
2025-07-23 10:54:10,NA,it,2,BE am,2025-05-09,LK
2025-07-23 10:54:10,NA,it,3,K am,2025-05-26,LK
2025-07-23 10:54:10,NA,it,2,BE am,2025-05-09,LK
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,se,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,se,2,BE am,2025-05-15,LK
2025-07-23 10:54:10,NA,se,3,K am,2025-05-26,LK
2025-07-23 10:54:10,NA,se,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,se,2,BE am,2025-05-15,LK
2025-07-23 10:54:10,NA,se,1,Kontrolle,2025-05-14,JHU
2025-07-23 10:54:10,NA,tr,1,Kontrolle,2025-05-15,SM
2025-07-23 10:54:10,NA,pl,1,Kontrolle,2025-05-15,SM
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-23,LK
2025-07-23 10:54:10,NA,be,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,com,1,Kontrolle,2025-05-30,DM
2025-07-23 10:54:10,NA,com.mx,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,es,1,Kontrolle,2025-05-08,SM
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-15,LK
2025-07-23 10:54:10,NA,nl,3,K am,2025-05-23,LK
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-15,LK
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,se,1,Kontrolle,2025-05-15,SM
2025-07-23 10:54:10,NA,se,2,BE am,2025-05-15,LK
2025-07-23 10:54:10,NA,se,3,K am,2025-05-23,LK
2025-07-23 10:54:10,NA,se,1,Kontrolle,2025-05-15,SM
2025-07-23 10:54:10,NA,se,2,BE am,2025-05-15,LK
2025-07-23 10:54:10,NA,se,1,Kontrolle,2025-05-15,SM
2025-07-23 10:54:10,NA,tr,2,BE am,2025-05-21,LK
2025-07-23 10:54:10,NA,tr,3,K am,2025-05-26,LK
2025-07-23 10:54:10,NA,tr,2,BE am,2025-05-21,LK
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-23,LK
2025-07-23 10:54:10,NA,be,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,com,1,Kontrolle,2025-05-23,LK
2025-07-23 10:54:10,NA,com.mx,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,co.uk,1,Kontrolle,2025-05-23,LK
2025-07-23 10:54:10,NA,de,1,Kontrolle,2025-05-23,LK
2025-07-23 10:54:10,NA,de,2,BE am,2025-05-27,HI
2025-07-23 10:54:10,NA,de,3,K am,2025-05-27,HI
2025-07-23 10:54:10,NA,de,1,Kontrolle,2025-05-23,LK
2025-07-23 10:54:10,NA,de,2,BE am,2025-05-27,HI
2025-07-23 10:54:10,NA,de,1,Kontrolle,2025-05-23,LK
2025-07-23 10:54:10,NA,es,1,Kontrolle,2025-05-08,SM
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,sg,4,C am,2025-05-09,EK
2025-07-23 10:54:10,NA,sg,4,C am,2025-05-09,EK
2025-07-23 10:54:10,NA,se,1,Kontrolle,2025-05-23,LK
2025-07-23 10:54:10,NA,tr,1,Kontrolle,2025-05-15,SM
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-23,LK
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-23,LK
2025-07-23 10:54:10,NA,ca,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,com,1,Kontrolle,2025-05-23,LK
2025-07-23 10:54:10,NA,com.mx,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,de,1,Kontrolle,2025-05-08,SM
2025-07-23 10:54:10,NA,es,1,Kontrolle,2025-05-08,SM
2025-07-23 10:54:10,NA,fr,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,it,1,Kontrolle,2025-05-26,LK
2025-07-23 10:54:10,NA,se,1,Kontrolle,2025-05-23,LK
2025-07-23 10:54:10,NA,tr,1,Kontrolle,2025-05-15,DM
2025-07-23 10:54:10,NA,pl,1,Kontrolle,2025-05-15,SM
2025-07-23 10:54:10,NA,ca,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,es,1,Kontrolle,2025-05-08,SM
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,nl,3,K am,2025-05-30,DM
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,com.mx,1,Kontrolle,2025-05-30,DM
2025-07-23 10:54:10,NA,fr,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,be,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,com,1,Kontrolle,2025-05-08,SM
2025-07-23 10:54:10,NA,com,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,com,3,K am,2025-05-30,DM
2025-07-23 10:54:10,NA,com,1,Kontrolle,2025-05-08,SM
2025-07-23 10:54:10,NA,com,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,com,1,Kontrolle,2025-05-08,SM
2025-07-23 10:54:10,NA,tr,2,BE am,2025-05-22,HI
2025-07-23 10:54:10,NA,tr,3,K am,2025-05-30,DM
2025-07-23 10:54:10,NA,tr,2,BE am,2025-05-22,HI
2025-07-23 10:54:10,NA,pl,1,Kontrolle,2025-05-15,SM
2025-07-23 10:54:10,NA,com.mx,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,com.mx,3,K am,2025-05-30,DM
2025-07-23 10:54:10,NA,com.mx,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,sg,2,BE am,2025-05-22,HI
2025-07-23 10:54:10,NA,sg,3,K am,2025-05-30,DM
2025-07-23 10:54:10,NA,sg,2,BE am,2025-05-22,HI
2025-07-23 10:54:10,NA,pl,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,pl,3,K am,2025-05-30,DM
2025-07-23 10:54:10,NA,pl,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-09,LK
2025-07-23 10:54:10,NA,nl,3,K am,2025-05-30,DM
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-09,LK
2025-07-23 10:54:10,NA,it,2,BE am,2025-05-19,SM
2025-07-23 10:54:10,NA,it,3,K am,2025-05-30,DM
2025-07-23 10:54:10,NA,it,2,BE am,2025-05-19,SM
2025-07-23 10:54:10,NA,se,2,BE am,2025-05-23,DM
2025-07-23 10:54:10,NA,se,3,K am,2025-05-30,DM
2025-07-23 10:54:10,NA,se,2,BE am,2025-05-23,DM
2025-07-23 10:54:10,NA,tr,2,BE am,2025-05-22,HI
2025-07-23 10:54:10,NA,tr,3,K am,2025-05-30,DM
2025-07-23 10:54:10,NA,tr,2,BE am,2025-05-22,HI
2025-07-23 10:54:10,NA,be,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,ca,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,com.mx,1,Kontrolle,2025-05-30,DM
2025-07-23 10:54:10,NA,de,4,C am,2025-05-09,EK
2025-07-23 10:54:10,NA,de,4,C am,2025-05-09,EK
2025-07-23 10:54:10,NA,es,1,Kontrolle,2025-05-30,DM
2025-07-23 10:54:10,NA,fr,1,Kontrolle,2025-05-30,DM
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,se,1,Kontrolle,2025-05-30,DM
2025-07-23 10:54:10,NA,tr,4,C am,2025-05-30,EK
2025-07-23 10:54:10,NA,tr,4,C am,2025-05-30,EK
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-09,LK
2025-07-23 10:54:10,NA,nl,3,K am,2025-05-26,LK
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-09,LK
2025-07-23 10:54:10,NA,sg,2,BE am,2025-05-22,HI
2025-07-23 10:54:10,NA,sg,3,K am,2025-05-26,LK
2025-07-23 10:54:10,NA,sg,2,BE am,2025-05-22,HI
2025-07-23 10:54:10,NA,tr,2,BE am,2025-05-27,HI
2025-07-23 10:54:10,NA,fr,2,BE am,2025-05-19,SM
2025-07-23 10:54:10,NA,fr,3,K am,2025-05-30,DM
2025-07-23 10:54:10,NA,fr,2,BE am,2025-05-19,SM
2025-07-23 10:54:10,NA,se,2,BE am,2025-05-15,LK
2025-07-23 10:54:10,NA,se,3,K am,2025-05-26,LK
2025-07-23 10:54:10,NA,se,2,BE am,2025-05-15,LK
2025-07-23 10:54:10,NA,pl,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,pl,3,K am,2025-05-26,LK
2025-07-23 10:54:10,NA,pl,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,be,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,se,1,Kontrolle,2025-05-23,LK
2025-07-23 10:54:10,NA,se,2,BE am,2025-05-27,HI
2025-07-23 10:54:10,NA,se,1,Kontrolle,2025-05-23,LK
2025-07-23 10:54:10,NA,pl,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,pl,3,K am,2025-05-26,LK
2025-07-23 10:54:10,NA,pl,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-15,LK
2025-07-23 10:54:10,NA,nl,3,K am,2025-05-26,LK
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-15,LK
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,co.uk,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,com.mx,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,fr,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,fr,3,K am,2025-05-26,LK
2025-07-23 10:54:10,NA,fr,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,tr,1,Kontrolle,2025-05-15,SM
2025-07-23 10:54:10,NA,se,1,Kontrolle,2025-05-30,DM
2025-07-23 10:54:10,NA,pl,1,Kontrolle,2025-05-15,SM
2025-07-23 10:54:10,NA,pl,2,BE am,2025-05-15,LK
2025-07-23 10:54:10,NA,pl,3,K am,2025-05-26,LK
2025-07-23 10:54:10,NA,pl,1,Kontrolle,2025-05-15,SM
2025-07-23 10:54:10,NA,pl,2,BE am,2025-05-15,LK
2025-07-23 10:54:10,NA,pl,1,Kontrolle,2025-05-15,SM
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,au,1,Kontrolle,2025-05-06,SM
2025-07-23 10:54:10,NA,nl,1,Kontrolle,2025-05-30,DM
2025-07-23 10:54:10,NA,fr,2,BE am,2025-05-19,SM
2025-07-23 10:54:10,NA,fr,3,K am,2025-05-30,DM
2025-07-23 10:54:10,NA,fr,2,BE am,2025-05-19,SM
2025-07-23 10:54:10,NA,it,2,BE am,2025-05-09,LK
2025-07-23 10:54:10,NA,it,3,K am,2025-05-26,LK
2025-07-23 10:54:10,NA,it,2,BE am,2025-05-09,LK
2025-07-23 10:54:10,NA,com.mx,1,Kontrolle,2025-05-26,LK
2025-07-23 10:54:10,NA,com.mx,2,BE am,2025-05-27,HI
2025-07-23 10:54:10,NA,com.mx,1,Kontrolle,2025-05-26,LK
2025-07-23 10:54:10,NA,es,1,Kontrolle,2025-05-08,SM
2025-07-23 10:54:10,NA,es,2,BE am,2025-05-09,LK
2025-07-23 10:54:10,NA,es,3,K am,2025-05-26,LK
2025-07-23 10:54:10,NA,es,1,Kontrolle,2025-05-08,SM
2025-07-23 10:54:10,NA,es,2,BE am,2025-05-09,LK
2025-07-23 10:54:10,NA,es,1,Kontrolle,2025-05-08,SM
2025-07-23 10:54:10,NA,sg,1,Kontrolle,2025-05-26,LK
2025-07-23 10:54:10,NA,sg,2,BE am,2025-05-27,HI
2025-07-23 10:54:10,NA,sg,1,Kontrolle,2025-05-26,LK
2025-07-23 10:54:10,NA,tr,1,Kontrolle,2025-05-26,LK
2025-07-23 10:54:10,NA,tr,2,BE am,2025-05-27,HI
2025-07-23 10:54:10,NA,tr,1,Kontrolle,2025-05-26,LK
2025-07-23 10:54:10,NA,com.mx,1,Kontrolle,2025-05-30,DM
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,nl,3,K am,2025-05-30,DM
2025-07-23 10:54:10,NA,nl,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,pl,1,Kontrolle,2025-05-26,LK
2025-07-23 10:54:10,NA,pl,2,BE am,2025-05-27,HI
2025-07-23 10:54:10,NA,pl,1,Kontrolle,2025-05-26,LK
2025-07-23 10:54:10,NA,fr,1,Kontrolle,2025-05-12,SM
2025-07-23 10:54:10,NA,fr,2,BE am,2025-05-12,LK
2025-07-23 10:54:10,NA,fr,3,K am,2025-05-23,LK
